new cost definition log:

[

twitter_weights=np.log10(w.full()[0]+epsilon)

cost[i][j]=pow(10,8)*pow(float(distance[i][j]),beta)/(float(attraction[i])*float(attraction[j]))/twitter_weights[i][j]

]


01-31 03-13
flow_11_12 = 12.0
flow_11_13 = 17.0
flow_11_15 = 11.0
flow_11_20 = 25.0
flow_11_23 = 4.0
flow_11_30 = 486.71429
flow_11_33 = 13.0
flow_11_47 = 19.0
flow_18_7 = 10.0
flow_19_37 = 20.0
flow_1_3 = 307.85714
flow_21_32 = 1.0
flow_28_36 = 41.0
flow_30_17 = 2.0
flow_30_18 = 28.0
flow_30_19 = 143.0
flow_30_27 = 7.0
flow_30_28 = 91.0
flow_30_31 = 18.0
flow_30_43 = 2.0
flow_30_44 = 30.0
flow_30_5 = 11.0
flow_30_6 = 4.0
flow_3_10 = 1.0
flow_3_14 = 6.0
flow_3_21 = 15.0
flow_3_24 = 4.0
flow_3_25 = 27.0
flow_3_26 = 19.0
flow_3_29 = 10.0
flow_3_30 = 270.28571
flow_3_35 = 30.0
flow_3_39 = 9.0
flow_3_4 = 78.0
flow_3_41 = 196.0
flow_3_42 = 7.0
flow_3_45 = 194.14286
flow_3_48 = 2.0
flow_3_8 = 70.0
flow_41_0 = 6.0
flow_41_16 = 36.0
flow_41_2 = 7.0
flow_41_22 = 6.0
flow_41_34 = 3.0
flow_41_40 = 26.0
flow_41_9 = 54.0
flow_9_38 = 13.0
Total Cost of movements:  3707.14286



03-13 03-31
flow_11_12 = 820.66907
flow_11_23 = 1011.5077
flow_13_11 = 940.59243
flow_14_3 = 72.738503
flow_15_12 = 340.85392
flow_18_36 = 212.44635
flow_19_30 = 4993.101
flow_21_3 = 514.34626
flow_21_32 = 41.376916
flow_24_3 = 140.49234
flow_25_3 = 2085.8233
flow_26_3 = 494.83859
flow_27_30 = 225.36159
flow_28_36 = 1315.0072
flow_29_3 = 531.23084
flow_2_41 = 28.361587
flow_30_17 = 133.75383
flow_30_20 = 5256.5843
flow_30_28 = 15779.853
flow_30_33 = 1260.8999
flow_30_43 = 123.75383
flow_30_5 = 2197.1461
flow_33_46 = 162.0
flow_35_3 = 1848.6925
flow_37_19 = 1204.4617
flow_38_9 = 17.10009
flow_39_3 = 654.60775
flow_3_1 = 536.39225
flow_3_10 = 441.37692
flow_3_11 = 2990.9225
flow_3_30 = 58812.81
flow_3_41 = 2552.8756
flow_3_42 = 294.63841
flow_3_8 = 818.38413
flow_40_9 = 151.20018
flow_41_0 = 491.2615
flow_41_16 = 2190.569
flow_41_22 = 429.2615
flow_41_34 = 312.13075
flow_41_9 = 478.15329
flow_44_30 = 1285.908
flow_44_31 = 3.7844905
flow_45_3 = 37949.396
flow_47_20 = 256.83859
flow_48_3 = 48.246168
flow_4_3 = 3610.6005
flow_6_30 = 19.492335
flow_7_18 = 351.23084
Total Cost of movements:  270839.825218


03-31 04-28
flow_10_3 = 893.03915
flow_11_12 = 5007.9996
flow_11_13 = 3682.4078
flow_11_15 = 75.124879
flow_11_23 = 4.0934393
flow_16_41 = 996.98864
flow_17_30 = 598.87236
flow_18_7 = 1316.6343
flow_19_37 = 5286.496
flow_1_3 = 72.647938
flow_20_11 = 1794.8853
flow_24_3 = 619.9463
flow_26_3 = 1208.0163
flow_30_11 = 15789.188
flow_30_18 = 12527.176
flow_30_19 = 27782.11
flow_30_27 = 24.963179
flow_30_28 = 12732.707
flow_30_31 = 1185.9806
flow_30_33 = 5094.7767
flow_30_36 = 18295.128
flow_30_44 = 7582.3842
flow_30_5 = 9393.2121
flow_30_6 = 2849.5865
flow_33_46 = 219.77121
flow_35_3 = 1347.0856
flow_38_31 = 122.75171
flow_3_11 = 5859.5893
flow_3_14 = 1248.1634
flow_3_21 = 778.85242
flow_3_25 = 2536.6449
flow_3_29 = 1271.2218
flow_3_32 = 309.48872
flow_3_39 = 1735.2563
flow_3_41 = 7225.7612
flow_40_15 = 1108.6715
flow_41_2 = 76.425704
flow_41_22 = 1273.936
flow_41_34 = 348.60806
flow_42_3 = 454.62305
flow_43_30 = 722.78416
flow_45_3 = 14463.883
flow_47_11 = 1018.3154
flow_48_3 = 118.46718
flow_4_3 = 1933.3708
flow_8_0 = 1346.5891
flow_8_41 = 937.37488
flow_8_9 = 1344.2982
Total Cost of movements:  598014.6331195997



04-28 06-11
flow_10_3 = 597.4275
flow_11_12 = 6178.7158
flow_11_13 = 10362.669
flow_11_23 = 1325.3713
flow_16_41 = 10022.983
flow_18_7 = 1608.3097
flow_19_30 = 11805.791
flow_19_37 = 24.505974
flow_20_11 = 1394.2548
flow_20_47 = 11844.51
flow_21_32 = 1002.8137
flow_24_3 = 338.17459
flow_28_30 = 70306.674
flow_30_11 = 52087.537
flow_30_17 = 588.90338
flow_30_18 = 22068.279
flow_30_27 = 1192.6787
flow_30_31 = 20616.511
flow_30_33 = 9909.7031
flow_30_41 = 150802.79
flow_30_44 = 23997.241
flow_30_6 = 964.37305
flow_30_8 = 12802.453
flow_30_9 = 10142.701
flow_33_15 = 3386.007
flow_33_46 = 27.005873
flow_36_28 = 8619.0509
flow_3_1 = 17641.716
flow_3_14 = 3788.5905
flow_3_21 = 21995.466
flow_3_25 = 9095.6124
flow_3_26 = 848.80681
flow_3_29 = 3423.4448
flow_3_35 = 486.36497
flow_3_39 = 1041.235
flow_3_4 = 180.05987
flow_3_42 = 4687.9485
flow_41_2 = 4567.723
flow_41_22 = 5810.607
flow_41_3 = 110713.78
flow_41_34 = 812.2409
flow_41_40 = 8836.2542
flow_43_30 = 612.42239
flow_45_3 = 2132.0756
flow_48_3 = 62.019026
flow_5_30 = 8114.8444
flow_8_0 = 9357.3537
flow_9_38 = 4981.4961
Total Cost of movements:  1288423.1311469995


06-11 07-23
flow_11_23 = 8281.2496
flow_11_40 = 27492.581
flow_11_41 = 78432.277
flow_12_11 = 16105.536
flow_12_15 = 1729.0833
flow_13_11 = 5110.7671
flow_17_30 = 1562.4567
flow_18_36 = 46945.015
flow_19_30 = 106701.89
flow_20_3 = 42732.965
flow_20_33 = 1840.8515
flow_20_47 = 1245.1742
flow_21_3 = 9983.2579
flow_25_3 = 8600.6861
flow_27_30 = 4032.5324
flow_28_30 = 149677.33
flow_29_3 = 451.66453
flow_30_3 = 208271.36
flow_30_31 = 4809.5429
flow_30_41 = 464741.85
flow_30_9 = 83807.756
flow_32_21 = 430.36382
flow_33_46 = 1144.7149
flow_36_30 = 100618.67
flow_37_19 = 13370.553
flow_39_3 = 3113.6262
flow_3_1 = 90387.316
flow_3_10 = 10298.781
flow_3_14 = 2692.2661
flow_3_24 = 1805.292
flow_3_26 = 19295.531
flow_3_35 = 5329.0245
flow_3_42 = 9619.1181
flow_3_45 = 249.98292
flow_3_48 = 342.06869
flow_41_0 = 28817.891
flow_41_16 = 13169.47
flow_41_2 = 14767.09
flow_41_22 = 11326.394
flow_41_34 = 12815.773
flow_41_8 = 252632.49
flow_43_30 = 828.62315
flow_44_31 = 23375.11
flow_4_3 = 14484.155
flow_5_30 = 40114.136
flow_6_30 = 6157.1059
flow_7_18 = 7482.8021
flow_9_38 = 43936.946
Total Cost of movements:  3277253.15175



07-23 08-09
flow_11_15 = 4104.9575
flow_11_23 = 10123.816
flow_11_40 = 2059.6413
flow_12_15 = 30.566873
flow_13_11 = 1910.901
flow_17_30 = 614.12658
flow_18_30 = 7014.518
flow_19_30 = 24678.336
flow_1_3 = 3580.9506
flow_20_3 = 3987.3815
flow_20_33 = 1718.9686
flow_20_47 = 2847.5894
flow_21_32 = 750.99604
flow_25_3 = 1244.11
flow_27_30 = 1040.9314
flow_28_30 = 37405.082
flow_29_3 = 315.24541
flow_30_3 = 111380.53
flow_30_31 = 1680.1007
flow_30_8 = 47050.741
flow_30_9 = 25895.451
flow_33_46 = 778.96052
flow_36_30 = 14461.165
flow_37_19 = 2873.5561
flow_39_3 = 540.79576
flow_3_10 = 3787.7395
flow_3_14 = 596.72291
flow_3_21 = 936.07894
flow_3_24 = 1308.8333
flow_3_26 = 6330.2338
flow_3_35 = 1629.55
flow_3_41 = 85653.812
flow_3_45 = 141.72292
flow_3_48 = 125.74817
flow_41_0 = 8869.3316
flow_41_16 = 4726.3248
flow_41_2 = 4205.988
flow_41_22 = 7301.2177
flow_41_34 = 8712.9389
flow_41_40 = 12255.94
flow_42_3 = 949.08976
flow_43_30 = 256.67736
flow_44_31 = 1131.4886
flow_4_3 = 2040.6233
flow_5_30 = 9774.8079
flow_6_36 = 1773.6504
flow_7_18 = 1663.9228
flow_9_38 = 4987.52
Total Cost of movements:  1031819.7613110001
