FIPS,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
0,Recovered,US,2020-06-01 23:59,0.0,0.0,0,0,-1,-1,"Recovered, US"
0,Grand Princess,US,2020-06-01 23:59,0.0,0.0,0,0,-1,-1,"Grand Princess, US"
0,Diamond Princess,US,2020-06-01 23:59,0.0,0.0,0,0,-1,-1,"Diamond Princess, US"
1,Alabama,US,2020-06-01 23:59,32.88428035358209,-86.71012237686571,18534,646,-1,-1,"Alabama, US"
2,Alaska,US,2020-06-01 23:59,60.83903922266667,-146.35478425333338,476,8,-1,-1,"Alaska, US"
4,Arizona,US,2020-06-01 23:59,33.675903642,-111.46323212666668,20123,918,-1,-1,"Arizona, US"
5,Arkansas,US,2020-06-01 23:59,34.9302123831081,-92.43308954189187,7443,133,-1,-1,"Arkansas, US"
6,California,US,2020-06-01 23:59,37.77824770964912,-120.72866631228071,115643,4287,-1,-1,"California, US"
8,Colorado,US,2020-06-01 23:59,38.90239628983332,-105.51943618666662,26563,1458,-1,-1,"Colorado, US"
9,Connecticut,US,2020-06-01 23:59,41.61368014,-72.65682967875,42740,3964,-1,-1,"Connecticut, US"
10,Delaware,US,2020-06-01 23:59,39.109276823333346,-75.53323745666665,9605,368,-1,-1,"Delaware, US"
11,District of Columbia,US,2020-06-01 23:59,38.90417773,-77.01655992,8857,468,-1,-1,"District of Columbia, US"
12,Florida,US,2020-06-01 23:59,28.94075487910448,-82.70074390925375,56822,2459,-1,-1,"Florida, US"
13,Georgia,US,2020-06-01 23:59,32.80853214484278,-83.57742992610065,45757,2057,-1,-1,"Georgia, US"
15,Hawaii,US,2020-06-01 23:59,20.99064747,-157.41445579999996,642,17,-1,-1,"Hawaii, US"
16,Idaho,US,2020-06-01 23:59,44.30281309305556,-114.65977396944444,2908,83,-1,-1,"Idaho, US"
17,Illinois,US,2020-06-01 23:59,39.8456048379208,-89.16546062168318,121666,5458,-1,-1,"Illinois, US"
18,Indiana,US,2020-06-01 23:59,39.83735316565217,-86.21856844913039,35684,2142,-1,-1,"Indiana, US"
19,Iowa,US,2020-06-01 23:59,42.029910023535365,-93.46551942343436,19789,558,-1,-1,"Iowa, US"
20,Kansas,US,2020-06-01 23:59,38.416378298681295,-97.80399089714287,10103,217,-1,-1,"Kansas, US"
21,Kentucky,US,2020-06-01 23:59,37.614095330940174,-85.23300525897436,10150,445,-1,-1,"Kentucky, US"
22,Louisiana,US,2020-06-01 23:59,31.092427383437492,-91.82418665609377,40452,2801,-1,-1,"Louisiana, US"
23,Maine,US,2020-06-01 23:59,44.68768840625,-69.523768628125,2349,89,-1,-1,"Maine, US"
24,Maryland,US,2020-06-01 23:59,39.014920690416666,-76.67546760874998,54035,2552,-1,-1,"Maryland, US"
25,Massachusetts,US,2020-06-01 23:59,42.17639998153847,-71.57704993461539,100805,7035,-1,-1,"Massachusetts, US"
26,Michigan,US,2020-06-01 23:59,43.94207275199999,-85.08165528850004,58435,5525,-1,-1,"Michigan, US"
27,Minnesota,US,2020-06-01 23:59,45.48525928821428,-94.45312185845236,25218,1060,-1,-1,"Minnesota, US"
28,Mississippi,US,2020-06-01 23:59,32.79355882555555,-89.62932823901234,15752,739,-1,-1,"Mississippi, US"
29,Missouri,US,2020-06-01 23:59,38.446493332352944,-92.48317277264708,13523,786,-1,-1,"Missouri, US"
30,Montana,US,2020-06-01 23:59,46.84780442032259,-110.98389643548387,519,17,-1,-1,"Montana, US"
31,Nebraska,US,2020-06-01 23:59,41.261762741558414,-98.71462003961037,14345,183,-1,-1,"Nebraska, US"
32,Nevada,US,2020-06-01 23:59,39.34797361562499,-117.55974313749998,8701,420,-1,-1,"Nevada, US"
33,New Hampshire,US,2020-06-01 23:59,43.478972876,-71.57765670500002,4685,245,-1,-1,"New Hampshire, US"
34,New Jersey,US,2020-06-01 23:59,40.28644091095239,-74.6224497147619,160918,11721,-1,-1,"New Jersey, US"
35,New Mexico,US,2020-06-01 23:59,34.5036842278125,-105.91639915312498,7800,362,-1,-1,"New Mexico, US"
36,New York,US,2020-06-01 23:59,42.67159317862068,-75.57969394672416,376520,29766,-1,-1,"New York, US"
37,North Carolina,US,2020-06-01 23:59,35.624209710000024,-79.50109873960002,29368,923,-1,-1,"North Carolina, US"
38,North Dakota,US,2020-06-01 23:59,47.48388656952381,-100.15846421261908,2628,64,-1,-1,"North Dakota, US"
39,Ohio,US,2020-06-01 23:59,40.31066981295457,-82.83540800659091,35984,2206,-1,-1,"Ohio, US"
40,Oklahoma,US,2020-06-01 23:59,35.506152534520545,-97.16179768972601,6573,334,-1,-1,"Oklahoma, US"
41,Oregon,US,2020-06-01 23:59,44.45964240911764,-121.55694340882351,4303,154,-1,-1,"Oregon, US"
42,Pennsylvania,US,2020-06-01 23:59,40.81807835477611,-77.61531783850747,76734,5574,-1,-1,"Pennsylvania, US"
44,Rhode Island,US,2020-06-01 23:59,41.655142106,-71.464105098,14991,720,-1,-1,"Rhode Island, US"
45,South Carolina,US,2020-06-01 23:59,33.957472131086966,-80.9833996921739,12148,500,-1,-1,"South Carolina, US"
46,South Dakota,US,2020-06-01 23:59,44.24249077296296,-98.96710538981479,5034,62,-1,-1,"South Dakota, US"
47,Tennessee,US,2020-06-01 23:59,35.88510221221052,-86.10872298863156,23242,361,-1,-1,"Tennessee, US"
48,Texas,US,2020-06-01 23:59,31.69525314126087,-98.44218510647819,66081,1695,-1,-1,"Texas, US"
49,Utah,US,2020-06-01 23:59,40.01440011461538,-111.46087804615385,10026,113,-1,-1,"Utah, US"
50,Vermont,US,2020-06-01 23:59,44.159495798571434,-72.68438070571429,983,55,-1,-1,"Vermont, US"
51,Virginia,US,2020-06-01 23:59,37.56615032526316,-78.51371173503755,45398,1392,-1,-1,"Virginia, US"
53,Washington,US,2020-06-01 23:59,47.23378642,-120.71922041538464,23272,1133,-1,-1,"Washington, US"
54,West Virginia,US,2020-06-01 23:59,38.81169193981132,-80.6194920879245,2028,76,-1,-1,"West Virginia, US"
55,Wisconsin,US,2020-06-01 23:59,44.39514349486112,-89.79797998097222,18556,597,-1,-1,"Wisconsin, US"
56,Wyoming,US,2020-06-01 23:59,43.0868855052174,-107.15324220434782,910,17,-1,-1,"Wyoming, US"
66,Guam,US,2020-06-01 23:59,13.4443,144.7937,1144,6,-1,-1,"Guam, US"
69,Northern Mariana Islands,US,2020-06-01 23:59,15.0979,145.6739,22,2,-1,-1,"Northern Mariana Islands, US"
72,Puerto Rico,US,2020-06-01 23:59,18.2208,-66.5901,3873,136,-1,-1,"Puerto Rico, US"
78,Virgin Islands,US,2020-06-01 23:59,18.3358,-64.8963,70,6,-1,-1,"Virgin Islands, US"
